94846KORD ORD20140101082013801/01/14 08:20:31  5-MIN KORD 011420Z 08010KT 3SM R10L/2800VP6000FT -SN OVC013 M06/M09 A3024 380 77 -2100 080/10 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101082514901/01/14 08:25:31  5-MIN KORD 011425Z 08008KT 1 1/2SM R10L/2800VP6000FT -SN BKN013 OVC022 M06/M09 A3025 370 77 -2100 090/08 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101083014901/01/14 08:30:31  5-MIN KORD 011430Z 08010KT 1 1/2SM R10L/5500VP6000FT -SN BKN013 OVC022 M06/M09 A3024 370 77 -2100 090/10 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101083513801/01/14 08:35:31  5-MIN KORD 011435Z 07009KT 1SM R10L/5000VP6000FT -SN OVC013 M06/M09 A3025 370 77 -2100 070/09 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101084013601/01/14 08:40:31  5-MIN KORD 011440Z 07013KT 1SM R10L/4000V6000FT -SN VV013 M06/M09 A3025 370 77 -2100 070/13 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101085013301/01/14 08:50:31  5-MIN KORD 011450Z 07013KT 1SM -SN BKN012 OVC017 M06/M09 A3024 370 77 -2100 070/13 RMK AO2 P0001 T10611094 RVRNO $
94846KORD ORD20140101085514001/01/14 08:55:31  5-MIN KORD 011455Z 06009KT 1SM -SN BKN012 OVC015 M06/M09 A3025 370 77 -2100 060/09 RMK AO2 SLP253 P0001 T10611094 RVRNO $
94846KORD ORD20140101090008701/01/14 09:00:31  5-MIN KORD 011500Z BR A3025 M M M M /M RMK AO2 SNB1447 P0001 RVRNO $
94846KORD ORD20140101090513301/01/14 09:05:31  5-MIN KORD 011505Z 07012KT 1SM -SN BKN012 OVC019 M06/M09 A3025 360 77 -2100 070/12 RMK AO2 P0002 T10611094 RVRNO $
94846KORD ORD20140101091014701/01/14 09:10:31  5-MIN KORD 011510Z 07012KT 3/4SM R10L/4000VP6000FT -SN BKN012 OVC019 M06/M09 A3026 360 77 -2100 070/12 RMK AO2 P0002 T10611094 $
94846KORD ORD20140101091514701/01/14 09:15:31  5-MIN KORD 011515Z 07014KT 3/4SM R10L/4500VP6000FT -SN BKN012 OVC019 M06/M09 A3026 360 77 -2100 080/14 RMK AO2 P0002 T10611094 $
94846KORD ORD20140101092014701/01/14 09:20:31  5-MIN KORD 011520Z 07013KT 3/4SM R10L/5000VP6000FT -SN BKN012 OVC019 M06/M09 A3026 360 77 -2100 070/13 RMK AO2 P0002 T10611094 $
94846KORD ORD20140101092514701/01/14 09:25:31  5-MIN KORD 011525Z 07013KT 3/4SM R10L/4000VP6000FT -SN BKN012 OVC019 M06/M09 A3026 360 77 -2100 070/13 RMK AO2 P0002 T10611094 $
94846KORD ORD20140101093014701/01/14 09:30:31  5-MIN KORD 011530Z 06013KT 3/4SM R10L/4000VP6000FT -SN BKN012 OVC019 M06/M09 A3026 360 77 -2100 070/13 RMK AO2 P0002 T10611094 $
94846KORD ORD20140101093513701/01/14 09:35:31  5-MIN KORD 011535Z 06011KT 1SM R10L/4500VP6000FT -SN VV014 M06/M09 A3026 350 77 -2100 070/11 RMK AO2 P0002 T10611094 $
94846KORD ORD20140101094013601/01/14 09:40:31  5-MIN KORD 011540Z 07009KT 1SM R10L/3000V5500FT -SN VV013 M06/M09 A3026 350 77 -2100 070/09 RMK AO2 P0002 T10611094 $
94846KORD ORD20140101094513401/01/14 09:45:31  5-MIN KORD 011545Z 06015G20KT 3/4SM R10L/2000V4500FT -SN VV012 M06/M09 A3026 350 77 -2100 060/15G20 RMK AO2 P0003 $
94846KORD ORD20140101095015101/01/14 09:50:31  5-MIN KORD 011550Z 06011G20KT 3/4SM R10L/2000V3000FT -SN VV014 M06/M09 A3026 350 77 -2100 070/11G20 RMK AO2 SLP261 P0004 T10611094 $
94846KORD ORD20140101095513801/01/14 09:55:31  5-MIN KORD 011555Z 06012KT 3/4SM R10L/2600V4500FT -SN VV015 M06/M09 A3026 360 77 -2100 070/12 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101100014401/01/14 10:00:31  5-MIN KORD 011600Z 06014G20KT 3/4SM R10L/3000V5000FT -SN VV015 M06/M09 A3026 360 77 -2100 070/14G20 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101100515201/01/14 10:05:31  5-MIN KORD 011605Z 06011G20KT 3/4SM R10L/4000V5500FT -SN FEW012 OVC017 M06/M09 A3026 360 77 -2100 060/11G20 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101101014601/01/14 10:10:31  5-MIN KORD 011610Z 06014KT 3/4SM R10L/4500V6000FT -SN FEW011 OVC017 M06/M09 A3025 360 77 -2100 060/14 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101101514501/01/14 10:15:31  5-MIN KORD 011615Z 06013KT 1/2SM R10L/4500V6000FT SN FEW011 OVC017 M06/M09 A3025 360 77 -2100 060/13 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101102014501/01/14 10:20:31  5-MIN KORD 011620Z 07013KT 1/2SM R10L/3500V5500FT SN FEW011 OVC017 M06/M09 A3025 360 77 -2100 070/13 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101102514501/01/14 10:25:31  5-MIN KORD 011625Z 06014KT 1/2SM R10L/3500V4500FT SN FEW011 OVC017 M06/M10 A3025 360 74 -2100 060/14 RMK AO2 P0000 T10611100 $
94846KORD ORD20140101103013801/01/14 10:30:31  5-MIN KORD 011630Z 07014KT 3/4SM R10L/3500V5000FT -SN VV016 M06/M09 A3025 370 77 -2100 070/14 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101103515201/01/14 10:35:31  5-MIN KORD 011635Z 07014G18KT 3/4SM R10L/4500V5000FT -SN FEW010 OVC015 M06/M09 A3025 370 77 -2100 070/14G18 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101104015201/01/14 10:40:31  5-MIN KORD 011640Z 06009G18KT 3/4SM R10L/2800V5000FT -SN FEW010 OVC015 M06/M09 A3025 370 77 -2100 070/09G18 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101104513501/01/14 10:45:31  5-MIN KORD 011645Z 06013KT 1/2SM R10L/2600V4000FT SN FEW009 OVC013 M06/M09 A3025 370 77 -2100 060/13 RMK AO2 P0001 $
94846KORD ORD20140101105014401/01/14 10:50:31  5-MIN KORD 011650Z 06012KT 1/2SM R10L/2600V4000FT SN VV012 M06/M09 A3024 370 77 -2100 060/12 RMK AO2 SLP254 P0002 T10611094 $
94846KORD ORD20140101105514301/01/14 10:55:31  5-MIN KORD 011655Z 06015G20KT 1/2SM R10L/3000V5500FT SN VV011 M06/M09 A3024 370 77 -2100 060/15G20 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101110014301/01/14 11:00:31  5-MIN KORD 011700Z 06013G20KT 1/2SM R10L/3000V5500FT SN VV010 M06/M09 A3024 370 77 -2100 070/13G20 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101110513701/01/14 11:05:31  5-MIN KORD 011705Z 06010KT 1/2SM R10L/3500V5500FT SN VV009 M06/M09 A3024 380 81 -2100 060/10 RMK AO2 P0001 T10611089 $
94846KORD ORD20140101111013701/01/14 11:10:31  5-MIN KORD 011710Z 06012KT 1/2SM R10L/3500V4500FT SN VV009 M06/M09 A3024 380 77 -2100 060/12 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101111513701/01/14 11:15:31  5-MIN KORD 011715Z 06014KT 1/2SM R10L/3000V4000FT SN VV009 M06/M09 A3024 380 77 -2100 060/14 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101112013701/01/14 11:20:31  5-MIN KORD 011720Z 06014KT 1/2SM R10L/2000V4000FT SN VV009 M06/M09 A3024 380 77 -2100 060/14 RMK AO2 P0001 T10611094 $
94846KORD ORD20140101112512701/01/14 11:25:31  5-MIN KORD 011725Z 1/2SM R10L/2000V3000FT SN VV009 M06/M09 A3023 380 77 -2100 M /M RMK AO2 P0001 T10611094 $
94846KORD ORD20140101113013701/01/14 11:30:31  5-MIN KORD 011730Z 06012KT 1/2SM R10L/2600V2800FT SN VV009 M06/M10 A3023 380 74 -2000 070/12 RMK AO2 P0001 T10611100 $
